FRASE,LIBRO,AUTOR
"¿Estas dispuesta aprovechar al maximo este probloema que tienes al frente como recurso de aprendizaje para pasar tu leción pendiente y pasar al siguiente nivel o volveras a usar este esenario para reforzar las viejas ideas de victimismo e impotencia que tienes acerca de ti, huyendo de la situación, haciendote pequeño o proyecta la culpa sobre la situación?",Vivir por Amor,
"La escacez o la injusticia, nada tienen que ver con la vida, pero si tienen que ver con las creencias que albergan en tu mente.",Vivir por Amor,
"Invertir en pensamientos de escacez dentoe de un universo abundante, tan solo te conducira a vivir una experiencia de abundante escacez",Vivir por Amor,
El mayor gesto de amor que puedes hacer por ti es amar incondicionalmente a los demas. Dandolo constanemente lo reconocer en nosotros mismos,Vivir por Amor,
Todo lo que tu mente te habia prometido jamas te dio lo que estabas buscando,Vivir por Amor,
"Que muchas personas compartan la misma idea, no significa que sea verdad. Pero cuanto más la compartan, más fuerza tendra. Al compartirla, la viviran, la experimentaran e inevitablemente la refortazan a compartirlas, asocienado que, al vivir los efectos de la idea, es tan real como la experiencia que han vivido.",Vivir por Amor,
El miedo nace del mundo de la percepción el amor surge del mundo del conocimiento,Vivir por Amor,
Nunca podras ver con claridad aquello que temes ver,Vivir por Amor,
"Como podria alguien ser feliz, desde un estado mental en el que vive resignado y que cree que no puede expresar lo que siente por miedo a ser juzgado por ls demas?",Vivir por Amor,
Siempre que buscas aceptación exterior lleva implicito el rechazo hacia ti mismo,Vivir por Amor,
"El verdadero significado de tener una mentalidad inocente, es guardar la caracteristica de una mentalidad curia, que todo lo pregunta y que todo lo quiere descubrir. ",Vivir por Amor,
Sal de tu razón y ve a tu intuición,Vivir por Amor,
Si aprendes a escuchar tu corazón hallaras siempre la repuesta correcta,Vivir por Amor,
Tu conflicto no radica en lo que sucede sino en la estructura mental con la que la afrontas,Vivir por Amor,
Aprender a desaprender es un camino que re conducira al pasado pero solo para dehacer lo andado y asi poder avanzar,Vivir por Amor,
El cambio no tiene sentido en el nivel de los sintomas donde no puede producirse resultados,Vivir por Amor,
"Una forma simple de solucionar el conflicto es preguntarte:
¿Para que hago XXXX?
¿Que emociones estoy intentando evitar a traves de esto?",Vivir por Amor,
"Esa musica no te gusta porque sea buena o mala, sino porque através de ella estas queriendo reafirmar tu personaldiad.",Vivir por Amor,
Tu mente no esta separada de las demás mentes.,Vivir por Amor,
Tus pensamientos son reafirmados através de toda tu realidad.,Vivir por Amor,
"La ansiedad es la consecuencia de la obsesion por el futuro, el miedo de no ser capaz de poder aforntar las situaciones de manera correcta, de quedarse sin recursos, de no ser capaz de dar la talla o estar a la altura. Si tienes ansiedad, suelta el futuro.",Vivir por Amor,
"La depresión es el apego por el pasasdo, por aquello queya no esta y que no podra recuperar jamas, dejando tal vacio que nada de lo que pueda venir del futuro pueda llegar a tener el mismo significado. Si tienes depresión, desapegate del pasado.",Vivir por Amor,
Un problema es un nivel de percepción que nace a nive de la mente.,Vivir por Amor,
"Volverte ciego ante la evidencia, es una de las herramientas favoritas del ego. ",Vivir por Amor,
